NAME,ID,MATCH,US_POP,CATEGORY ,,
European alone or in any combination,1113,1002,"132,046,363",European,,
Albanian alone or in any combination,1114,1003,"236,635",European,,
Alsatian alone or in any combination,1115,1004,"12,056",European,,
Andorran alone or in any combination,1116,1005,288,European,,
Armenian alone or in any combination,1117,1006,"519,001",European,,
Austrian alone or in any combination,1118,1007,"697,425",European,,
Azerbaijani alone or in any combination,1119,1008,"12,525",European,,
Basque alone or in any combination,1120,1009,"52,559",European,,
Belarusian alone or in any combination,1121,1010,"67,599",European,,
Belgian alone or in any combination,1122,1011,"384,224",European,,
Bosnian and Herzegovinian alone or in any combination,1123,1012,"122,247",European,,
British alone or in any combination,1124,1013,"860,315",European,,
British Islander alone or in any combination,1125,1014,"43,654",European,,
Bulgarian alone or in any combination,1126,1015,"102,968",European,,
Carpatho Rusyn alone or in any combination,1127,1016,"9,747",European,,
Celtic alone or in any combination,1128,1017,"30,630",European,,
Cornish alone or in any combination,1129,1018,"6,257",European,,
Croatian alone or in any combination,1130,1019,"448,479",European,,
Cypriot alone or in any combination,1131,1020,"10,384",European,,
Czech alone or in any combination,1132,1021,"1,397,780",European,,
Danish alone or in any combination,1133,1022,"1,314,209",European,,
Dutch alone or in any combination,1134,1023,"3,649,179",European,,
English alone or in any combination,1135,1024,"46,550,968",European,,
Estonian alone or in any combination,1136,1025,"30,054",European,,
Faroe Islander alone or in any combination,1137,1026,272,European,,
Finnish alone or in any combination,1138,1027,"684,373",European,,
French alone or in any combination,1139,1028,"7,994,088",European,,
Frisian alone or in any combination,1140,1029,"2,536",European,,
Georgian alone or in any combination,1141,1030,"25,726",European,,
German alone or in any combination,1142,1031,"44,978,546",European,,
Greek alone or in any combination,1143,1032,"1,305,852",European,,
Hungarian alone or in any combination,1144,1033,"1,363,267",European,,
Icelandic alone or in any combination,1145,1034,"55,602",European,,
Irish alone or in any combination,1146,1035,"38,597,428",European,,
Italian alone or in any combination,1147,1036,"16,813,235",European,,
Kosovan alone or in any combination,1148,1037,"6,139",European,,
Lapp alone or in any combination,1149,1038,"3,254",European,,
Latvian alone or in any combination,1150,1039,"92,944",European,,
Liechtensteiner alone or in any combination,1151,1040,"1,214",European,,
Lithuanian alone or in any combination,1152,1041,"711,089",European,,
Luxembourger alone or in any combination,1153,1042,"57,359",European,,
Macedonian alone or in any combination,1154,1043,"51,401",European,,
Maltese alone or in any combination,1155,1044,"44,874",European,,
Manx alone or in any combination,1156,1045,"8,704",European,,
Moldovan alone or in any combination,1157,1046,"35,423",European,,
Monegasque alone or in any combination,1158,1047,"1,885",European,,
Montenegrin alone or in any combination,1159,1048,"12,897",European,,
Northern Irelander alone or in any combination,1160,1049,"5,181",European,,
Norwegian alone or in any combination,1161,1050,"3,836,884",European,,
Polish alone or in any combination,1162,1051,"8,599,601",European,,
Portuguese alone or in any combination,1163,1052,"1,454,262",European,,
Roma alone or in any combination,1164,1053,"16,258",European,,
Romanian alone or in any combination,1165,1054,"416,545",European,,
