NAME,ID,MATCH
Abenaki Canadian alone,2251,
Abenaki Canadian alone or in any combination,3453,
Abenaki Nation of Missisquoi alone,1632,
Abenaki Nation of Missisquoi alone or in any combination,2834,
Absentee Shawnee Tribe of Indians of Oklahoma alone,1633,
Absentee Shawnee Tribe of Indians of Oklahoma alone or in any combination,2835,
Acadia Band alone,2252,
Acadia Band alone or in any combination,3454,
Ache Dene Koe alone,2253,
Ache Dene Koe alone or in any combination,3455,
Ache Indian alone,2518,
Ache Indian alone or in any combination,3720,
Afghan alone,3773,
Afghan alone or in any combination,3830,
African American alone,1224,
African American alone or in any combination,1292,
Afrikaner alone,1101,
Afrikaner alone or in any combination,1212,
Agdaagux Tribe of King Cove alone,1361,
Agdaagux Tribe of King Cove alone or in any combination,2563,
Agua Caliente alone,1634,
Agua Caliente alone or in any combination,2836,
Agua Caliente Band of Cahuilla Indians alone,1635,
Agua Caliente Band of Cahuilla Indians alone or in any combination,2837,
Ahousaht alone,2254,
Ahousaht alone or in any combination,3456,
"Ahtna, Inc. Corporation alone",1362,
"Ahtna, Inc. Corporation alone or in any combination",2564,
Ak-Chin Indian Community alone,1636,
Ak-Chin Indian Community alone or in any combination,2838,
Akiachak Native Community alone,1363,
Akiachak Native Community alone or in any combination,2565,
Akiak Native Community alone,1364,
Akiak Native Community alone or in any combination,2566,
Alabama Creek alone,1637,
Alabama Creek alone or in any combination,2839,
Alabama Quassarte Tribal Town alone,1638,
Alabama Quassarte Tribal Town alone or in any combination,2840,
Alabama-Coushatta Tribe of Texas alone,1639,
Alabama-Coushatta Tribe of Texas alone or in any combination,2841,
Alanvik alone,1365,
Alanvik alone or in any combination,2567,
Alaska Native alone,1360,
Alaska Native alone or in any combination,2562,
"Alaska Native alone or in any combination, not specified ",2831,1629
"Alaska Native alone, not specified ",1629,2831
Alaskan Athabascan alone,1366,
Alaskan Athabascan alone or in any combination,2568,
Alatna Village alone,1367,
Alatna Village alone or in any combination,2569,
Albanian alone,1003,
Albanian alone or in any combination,1114,
Alderville First Nation alone,2255,
Alderville First Nation alone or in any combination,3457,
